Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
28,28,CHH,Kevin Lynch,Minnesota,2,95,1143,310,120,108,0.436,0.333,0.726,12,3.3,1.3,1.1,0.4,0.016,-4.4,-0.7
29,29,MIA,George Ackles,UNLV,,,,,,,,,,,,,,,,,
30,30,ATL,Rodney Monroe,NC State,1,38,313,131,33,27,0.368,0.222,0.826,8.2,3.4,0.9,0.7,-0.2,-0.035,-5.3,-0.3
31,31,SAC,Randy Brown,New Mexico State,12,655,11533,3148,1173,1420,0.417,0.2,0.691,17.6,4.8,1.8,2.2,11,0.046,-1.9,0.2
32,32,PHO,Chad Gallagher,Creighton,1,2,3,6,0,0,1,,,1.5,3,0,0,0.1,1.442,30.1,0
33,33,DAL,Donald Hodge,Temple,5,249,3501,1182,809,191,0.437,0.286,0.711,14.1,4.7,3.2,0.8,1.8,0.025,-4.2,-1.9
34,34,MIN,Myron Brown,Slippery Rock University of Pennsylvania,1,4,23,9,3,6,0.667,0.333,,5.8,2.3,0.8,1.5,0,0.032,-1.8,0
35,35,DAL,Mike Iuzzolino,Saint Francis University,2,122,3049,1096,238,522,0.457,0.404,0.798,25,9,2,4.3,3.7,0.058,-1.9,0.1
36,36,ORL,Chris Corchiani,NC State,3,112,1313,416,129,243,0.421,0.269,0.816,11.7,3.7,1.2,2.2,1.6,0.058,-1.8,0.1
37,37,LAC,Elliot Perry,Memphis,10,549,9501,3449,742,1699,0.459,0.359,0.783,17.3,6.3,1.4,3.1,14,0.071,-0.5,3.6
38,38,LAC,Joe Wylie,Miami (FL),,,,,,,,,,,,,,,,,
39,39,CLE,Jimmy Oliver,Purdue,5,78,856,331,80,55,0.407,0.34,0.772,11,4.2,1,0.7,0.3,0.018,-4.7,-0.6
40,40,DET,Doug Overton,La Salle,11,499,7275,2253,654,1038,0.412,0.319,0.816,14.6,4.5,1.3,2.1,2.5,0.016,-3.9,-3.5
41,41,IND,Sean Green,Iona College,3,84,671,352,85,45,0.386,0.246,0.62,8,4.2,1,0.5,-1.3,-0.095,-7,-0.8
42,42,SAC,Steve Hood,James Madison University,,,,,,,,,,,,,,,,,
43,43,GSW,Lamont Strothers,Christopher Newport University,2,13,155,60,15,14,0.329,0.133,0.714,11.9,4.6,1.2,1.1,-0.5,-0.142,-7.7,-0.2
44,44,PHI,Alvaro Teheran,Houston,,,,,,,,,,,,,,,,,
45,45,MIL,Bobby Phills,Southern University and A&M College,9,467,13426,5153,1469,1246,0.443,0.39,0.738,28.7,11,3.1,2.7,27.2,0.097,0.2,7.5
46,46,PHO,Richard Dumas,Oklahoma State,3,102,2226,1080,351,111,0.509,0.231,0.694,21.8,10.6,3.4,1.1,4.5,0.097,-0.2,1
47,47,HOU,Keith Hughes,Rutgers University,,,,,,,,,,,,,,,,,
48,48,UTA,Isaac Austin,Arizona State,9,432,8350,3285,2030,538,0.446,0.176,0.67,19.3,7.6,4.7,1.2,9.2,0.053,-2.5,-1
49,49,SAS,Greg Sutton,Oral Roberts,3,168,1946,761,153,284,0.396,0.361,0.743,11.6,4.5,0.9,1.7,1,0.024,-3.6,-0.8
50,50,PHO,Joey Wright,Texas,,,,,,,,,,,,,,,,,
51,51,HOU,Žan Tabak,,6,247,3607,1233,883,165,0.506,0,0.525,14.6,5,3.6,0.7,2.4,0.032,-4.9,-2.7
52,52,LAL,Anthony Jones,Oral Roberts,,,,,,,,,,,,,,,,,
53,53,NJN,Von McDade,UW-Milwaukee,,,,,,,,,,,,,,,,,
54,54,POR,Marcus Kennedy,Eastern Michigan,,,,,,,,,,,,,,,,,
