name,season,school,conf,class,G,GS,MP_per,FG_per,FGA_per,FG%_per,2P_per,2PA_per,2P%_per,3P_per,3PA_per,3P%_per,FT_per,FTA_per,FT%_per,ORB_per,DRB_per,TRB_per,AST_per,STL_per,BLK_per,TOV_per,PF_per,PTS_per,SOS
Sherman Douglas,1985-86,Syracuse,Big East,FR,27,0,11.4,2.1,3.4,0.613,1.8,3,0.542,0.1,0.4,0.213,1.2,1.6,0.727,,,1.2,2.1,1.2,0.2,1.2,1.2,5.4,6.65
Sherman Douglas,1986-87,Syracuse,Big East,SO,38,38,32.6,6.5,12.2,0.531,6.1,10.9,0.556,0.4,1.3,0.327,4,5.3,0.744,,,2.6,7.6,1.7,0.1,3.2,1.9,17.3,8.23
Sherman Douglas,1987-88,Syracuse,Big East,JR,35,34,34.1,6.3,12.2,0.519,5.9,10.7,0.555,0.4,1.5,0.264,3,4.3,0.693,0.7,1.5,2.2,8.2,2,0,3.3,1.6,16.1,8.55
Sherman Douglas,1988-89,Syracuse,Big East,SR,38,38,35.5,7.2,13.1,0.546,6.1,10.3,0.594,1,2.8,0.368,2.9,4.6,0.632,,,2.4,8.6,1.8,0,3.7,1.9,18.2,9.23
Sherman Douglas,Career,Syracuse,,,138,110,29.6,5.8,10.7,0.538,6,10.5,0.568,0.475,1.5,0.332,2.9,4.1,0.695,,,2.2,7,1.7,0.1,3,1.7,14.9,8.16
Deon Thomas,1990-91,Illinois,Big Ten,FR,30,28,31.1,5.7,9.9,0.577,5.7,9.9,0.577,0,0,0,3.6,5.6,0.643,,,6.8,0.6,0.3,1.8,1.9,2.3,15.1,8.39
Deon Thomas,1991-92,Illinois,Big Ten,SO,28,26,33.8,7.1,12.1,0.585,7.1,12.1,0.585,0,0,0,5.1,7.8,0.661,,,6.9,0.7,0.9,1.6,2.7,1.5,19.4,11.41
Deon Thomas,1992-93,Illinois,Big Ten,JR,32,30,34.3,7,11.6,0.606,7,11.6,0.606,0,0,0,4.3,6.6,0.646,,,8,1.2,0.5,1.3,1.8,2.2,18.3,9.27
Deon Thomas,1993-94,Illinois,Big Ten,SR,28,26,29.4,7.4,11.7,0.633,7.4,11.6,0.634,0,0.1,0.5,4.8,6.9,0.693,,,6.9,1.5,0.8,1.3,1.9,2.4,19.6,9.9
Deon Thomas,Career,Illinois,,,118,110,32.2,6.8,11.3,0.601,6.8,11.3,0.601,0,0,0.5,4.4,6.7,0.661,,,7.2,1,0.6,1.5,2.1,2.1,18,9.74
Antonio Lang,1990-91,Duke,ACC,FR,36,8,11.8,1.6,2.6,0.606,1.6,2.6,0.606,0,0,0,1.1,2.1,0.526,,,2.6,0.2,0.4,0.8,0.7,1.5,4.3,10.63
Antonio Lang,1991-92,Duke,ACC,SO,34,18,22.4,2.3,4,0.562,2.3,4,0.562,0,0,0,1.9,2.9,0.657,,,4.1,0.7,0.6,0.3,1.3,2.6,6.4,10.21
Antonio Lang,1992-93,Duke,ACC,JR,31,27,26.1,2.6,4.9,0.523,2.6,4.9,0.526,0,0,0,1.8,2.7,0.655,,,5.5,0.8,0.6,1,1.8,2.6,6.9,10.76
Antonio Lang,1993-94,Duke,ACC,SR,34,34,30.1,4.5,7.6,0.588,4.5,7.6,0.593,0,0,0,3.5,4.8,0.724,,,5.4,1,0.4,1.1,2.2,2.4,12.5,9
Antonio Lang,Career,Duke,,,135,87,22.4,2.7,4.8,0.57,2.7,4.7,0.573,0,0,0,2.1,3.1,0.659,,,4.3,0.7,0.5,0.8,1.5,2.3,7.5,10.15
George Ackles,1988-89,UNLV,Big West,JR,36,27,19.5,2.3,4.2,0.54,2.3,4.2,0.54,0,0,0,1.1,2.1,0.514,,,4.6,0.5,0.6,1.8,1.4,3.5,5.6,6.66
George Ackles,1990-91,UNLV,Big West,SR,35,,24.2,3.6,6.6,0.539,3.5,6.6,0.537,0,0,0,1.1,1.8,0.587,,,5.7,0.8,1,2.2,1.3,2,8.2,4.34
George Ackles,Career,UNLV,,,71,27,21.8,2.9,5.4,0.539,2.9,5.4,0.538,0,0,0,1.1,1.9,0.547,,,5.2,0.7,0.8,2,1.4,2.7,6.9,5.5
Serge Zwikker,1993-94,UNC,ACC,FR,19,1,3.3,0.6,1.1,0.524,0.6,1.1,0.524,0,0,0,0.3,0.4,0.75,,,0.7,0.1,0.2,0.4,0.1,0.6,1.5,9.39
Serge Zwikker,1994-95,UNC,ACC,SO,34,0,10,1.1,2.4,0.488,1.1,2.4,0.488,0,0,0,0.6,0.9,0.677,,,3,0.3,0.1,0.4,0.4,1.2,2.9,13.14
Serge Zwikker,1995-96,UNC,ACC,JR,32,31,29.5,4.3,8.3,0.517,4.3,8.3,0.517,0,0,0,0.9,1.5,0.617,,,6.2,0.7,0.1,1.5,1.3,2.3,9.5,11.42
Serge Zwikker,1996-97,UNC,ACC,SR,35,34,30.8,5.1,10.3,0.492,5,10.2,0.493,0,0.1,0.333,1.3,1.8,0.758,,,8.1,0.3,0.4,1.7,1.2,2.9,11.5,12
Serge Zwikker,Career,UNC,,,120,66,20.2,3,6.1,0.501,3,6,0.502,0,0,0,0.9,1.2,0.696,,,5,0.4,0.2,1.1,0.8,1.9,7,11.49
Othella Harrington,1992-93,Georgetown,Big East,FR,33,33,32.6,6.2,10.8,0.573,6.2,10.8,0.573,0,0,0,4.4,5.8,0.746,,,8.8,1,0.8,1.5,2.7,2.9,16.8,8.63
Othella Harrington,1993-94,Georgetown,Big East,SO,31,31,28.9,4.9,8.9,0.551,4.9,8.9,0.553,0,0,0,4.9,6.6,0.733,,,8,1.2,0.7,1.6,3,3.2,14.7,12.05
Othella Harrington,1994-95,Georgetown,Big East,JR,31,31,24.7,4.3,7.6,0.559,4.3,7.6,0.562,0,0,0,3.7,5.3,0.706,,,6,0.8,0.9,1.4,2.6,2.8,12.2,6.53
Othella Harrington,1995-96,Georgetown,Big East,SR,37,37,26.6,4.4,7.8,0.559,4.4,7.7,0.563,0,0.1,0,3.5,4.7,0.741,,,6.9,1.2,0.8,1.6,1.8,2.5,12.2,9.83
Othella Harrington,Career,Georgetown,,,132,132,28.2,4.9,8.8,0.561,4.9,8.7,0.563,0,0,0,4.1,5.6,0.732,,,7.4,1,0.8,1.5,2.5,2.8,13.9,9.26
Lou Roe,1991-92,UMass,A-10,FR,34,0,20.8,2.6,5,0.529,2.6,5,0.529,0,0,0,2.5,3.8,0.672,,,6.4,0.9,0.5,0.6,1.3,2.7,7.8,4.72
Lou Roe,1992-93,UMass,A-10,SO,31,30,30.3,5,8.8,0.564,5,8.8,0.564,0,0,0,3.9,5.4,0.725,,,9.2,1.3,0.8,1,2.6,3.4,13.8,5.34
Lou Roe,1993-94,UMass,A-10,JR,35,34,32.1,6.2,12.3,0.505,6.1,11.9,0.513,0.1,0.4,0.267,6,9,0.667,,,8.3,1.7,0.9,0.9,2.5,2.6,18.6,6.21
Lou Roe,1994-95,UMass,A-10,SR,34,32,28.6,5.9,11,0.532,5.8,10.9,0.534,0,0.1,0.333,4.7,6.7,0.706,,,8.1,1.7,0.6,1.1,2.3,2.4,16.5,8.07
Lou Roe,Career,UMass,,,134,96,27.9,4.9,9.3,0.529,4.9,9.2,0.533,0,0.1,0.278,4.3,6.3,0.69,,,8,1.4,0.7,0.9,2.2,2.8,14.2,6.09
Steve Logan,1998-99,Cincinnati,CUSA,FR,33,17,21.4,3.1,7.2,0.423,1.8,3.3,0.532,1.3,3.9,0.331,1.5,1.8,0.787,,,1.5,2.2,0.4,0,1.2,1.4,8.9,7.88
Steve Logan,1999-00,Cincinnati,CUSA,SO,33,22,26.8,3.1,7.3,0.417,1.5,3.7,0.418,1.5,3.6,0.417,2.2,2.6,0.849,,,1.8,3.5,0.7,0,1.3,1.2,9.8,8.5
Steve Logan,2000-01,Cincinnati,CUSA,JR,34,32,32.6,5.7,13.4,0.423,3.4,7.5,0.449,2.3,5.9,0.391,3.9,4.4,0.88,0.4,2,2.4,2.3,0.9,0.1,1.6,2.3,17.6,7.85
Steve Logan,2001-02,Cincinnati,CUSA,SR,35,35,34.1,7,15.4,0.457,4.6,8.8,0.519,2.5,6.6,0.374,5.5,6.3,0.873,0.3,2.8,3.1,5.3,0.9,0,2.5,1.8,22,6.76
Steve Logan,Career,Cincinnati,,,135,106,28.9,4.7,10.9,0.435,2.8,5.9,0.483,1.9,5.1,0.378,3.3,3.8,0.861,,,2.2,3.4,0.7,0,1.7,1.7,14.7,7.75
Rodney Monroe,1987-88,NC State,ACC,FR,32,0,20.8,4.1,8.7,0.477,2.6,5.1,0.509,1.5,3.6,0.43,1.3,1.6,0.824,,,2.4,1.5,0.6,0.1,1.2,1.1,11.1,6.53
Rodney Monroe,1988-89,NC State,ACC,SO,31,31,34.3,7.7,16.5,0.468,5,9.7,0.515,2.7,6.8,0.401,3.2,4,0.797,,,4.8,2.9,0.9,0.1,2.1,2,21.4,7.16
Rodney Monroe,1989-90,NC State,ACC,JR,30,30,36.5,7.6,16.8,0.451,4.8,11,0.435,2.8,5.8,0.483,5.2,6.4,0.818,,,4.3,2.5,0.8,0.2,2.7,1.8,23.2,10.44
Rodney Monroe,1990-91,NC State,ACC,SR,31,31,37.6,9.2,20.7,0.445,5.8,13,0.45,3.4,7.7,0.435,5.2,5.9,0.885,,,4.4,2.8,1.1,0.2,2.4,1.9,27,9.34
Rodney Monroe,Career,NC State,,,124,92,32.2,7.1,15.6,0.457,4.5,9.7,0.47,2.6,6,0.436,3.7,4.4,0.836,,,4,2.4,0.9,0.2,2.1,1.7,20.6,8.37
Sean Rooks,1988-89,Arizona,Pac-10,FR,32,1,11.3,2.2,3.7,0.598,2.2,3.7,0.598,0,0,0,1.3,2,0.615,,,2.8,0.6,0.2,0.6,0.9,1.7,5.6,10.26
Sean Rooks,1989-90,Arizona,Pac-10,SO,31,6,22.1,4.5,8.5,0.532,4.5,8.5,0.532,0,0,0,3.7,5.2,0.708,,,4.9,1,0.5,1.6,1.8,2.6,12.7,9.03
Sean Rooks,1990-91,Arizona,Pac-10,JR,35,,22.9,4.5,8.1,0.562,4.5,8,0.563,0.1,0.1,0.5,2.8,4.3,0.658,,,5.2,1.2,0.5,1.2,2.1,2.3,11.9,9.66
Sean Rooks,1991-92,Arizona,Pac-10,SR,31,29,28.3,5.8,10.4,0.56,5.7,10.3,0.56,0.1,0.2,0.6,4.5,6.9,0.651,,,6.9,1.7,0.9,1,2.2,2.7,16.3,8.19
Sean Rooks,Career,Arizona,,,129,36,21.1,4.3,7.6,0.558,4.2,7.6,0.558,0,0.1,0.556,3,4.6,0.664,,,4.9,1.1,0.5,1.1,1.8,2.3,11.6,9.28
James White IV,2001-02,Florida,SEC,FR,30,2,20.5,2.4,5.6,0.42,1.7,3.3,0.51,0.7,2.3,0.29,0.7,1.3,0.5,0.9,2,2.9,1.7,0.9,0.6,1.6,2,6.1,8.37
James White IV,2003-04,Cincinnati,CUSA,SO,27,22,25.1,2.6,6.9,0.384,2.1,4.5,0.459,0.6,2.3,0.238,2.1,2.6,0.803,1,3.1,4,3.6,0.9,0.7,2.1,2,7.9,6.28
James White IV,2004-05,Cincinnati,CUSA,JR,33,30,28.5,3.3,7.5,0.443,2.2,4.6,0.48,1.1,2.8,0.383,2.5,3.2,0.798,1.1,3.7,4.8,3.1,0.9,0.4,2,2.2,10.2,6.74
James White IV,2005-06,Cincinnati,Big East,SR,33,33,33.5,5.4,11,0.488,3.9,7,0.552,1.5,4,0.374,4.1,4.8,0.838,1.3,3.8,5.1,2,1.1,0.8,2.3,2.7,16.3,8.41
James White IV,Career,Overall,,,123,87,27.1,3.5,7.8,0.444,2.5,4.9,0.508,1,2.9,0.336,2.4,3,0.784,1,3.2,4.2,2.6,1,0.6,2,2.2,10.3,7.45
James White IV,,Florida,,,30,2,20.5,2.4,5.6,0.42,1.7,3.3,0.51,0.7,2.3,0.29,0.7,1.3,0.5,0.9,2,2.9,1.7,0.9,0.6,1.6,2,6.1,0
James White IV,,Cincinnati,,,93,85,29.3,3.8,8.5,0.45,2.8,5.4,0.508,1.1,3.1,0.347,2.9,3.6,0.818,1.1,3.6,4.7,2.8,1,0.6,2.2,2.3,11.7,0
Jeffery Taylor,2008-09,Vanderbilt,SEC,FR,31,31,26,4.4,8.7,0.502,4.1,7.4,0.552,0.3,1.3,0.22,3.1,4.5,0.691,2.6,3.5,6.2,1.7,0.9,0.4,2.2,2.5,12.2,3.81
Jeffery Taylor,2009-10,Vanderbilt,SEC,SO,33,33,26.8,4.5,9.1,0.493,4.5,8.8,0.509,0,0.3,0.091,4.3,5.7,0.746,1.9,3.3,5.2,1.7,1.1,0.4,2.2,2.6,13.3,7.86
Jeffery Taylor,2010-11,Vanderbilt,SEC,JR,34,33,31.7,5,11.2,0.449,3.9,7.9,0.493,1.1,3.3,0.345,3.5,4.9,0.719,1.7,3.9,5.5,2.4,1,0.6,2.6,2.4,14.7,6.86
Jeffery Taylor,2011-12,Vanderbilt,SEC,SR,36,36,32.1,5.8,11.8,0.493,4,7.5,0.533,1.8,4.3,0.423,2.6,4.4,0.605,2.1,3.4,5.6,1.7,1.3,0.4,2.2,1.9,16.1,8.04
