name,height,weight
Sherman Douglas,6,180lb
Antonio Lang,6.8,205lb
Serge Zwikker,7.3,273lb
Othella Harrington,6.9,235lb
Lou Roe,6.7,220lb
Steve Logan,6,200lb
Rodney Monroe,6.3,185lb
Sean Rooks,6.1,250lb
James White IV,6.7,200lb
Jeffery Taylor,6.7,225lb
Salim Stoudamire,6.1,179lb
Jeff Ayres,6.1,240lb
Gilbert Arenas,6.3,191lb
Jason Kapono,6.8,213lb
Allen Crabbe,6.6,210lb
Carl Landry,6.9,248lb
Deyonta Davis,6.1,245lb
Ruben Patterson,6.5,224lb
Roger Mason Jr,6.5,200lb
Dan Langhi,6.11,220lb
Charles O'Bannon,6.5,209lb
Daniel Ewing,6.3,185lb
Robert Archibald,6.11,250lb
Stanley Brundy,6.6,210lb
Montrezl Harrell,6.8,235lb
Dexter Pittman,6.1,290lb
Steve Novak,6.1,220lb
Omar Cook,6.1,190lb
A.J. Guyton,6.1,180lb
Alphonso Ford,6.1,190lb
Luke Walton,6.8,235lb
K.J. McDaniels,6.6,200lb
Brian Oliver,6.4,210lb
Jelani McCoy,6.1,245lb
Joe Harris ,6.6,225lb
Joey Dorsey,6.8,268lb
Chris Herren,6.2,197lb
Eric Riley,7,245lb
Vincent Yarbrough,6.7,210lb
Kyle Singler,6.8,230lb
Jake Voskuhl,6.11,245lb
Marcus Williams,6.3,205lb
Dante Cunningham,6.9,230lb
Junior Burrough,6.8,242lb
Cheick Diallo,6.9,218lb
Jay Edwards,6.4,185lb
Hassan Whiteside,7,235lb
Jae Crowder,6.6,235lb
Anthony Brown,6.6,215lb
Lionel Chalmers Jr,6,180lb
Chris Smith,6.3,190lb
Kevin Pritchard,6.3,180lb
Mario Chalmers,6.1,190lb
Terence Morris,6.9,221lb
Paul Davis,6.11,270lb
Tyler Ulis,5.9,155lb
Isaiah Canaan,6.1,195lb
Nick Fazekas,6.11,235lb
Khalid El-Amin,5.1,200lb
Shammond Williams,6.1,201lb
Cleanthony Early,6.8,219lb
Dan Gadzuric,6.11,240lb
Shelvin Mack,6.3,215lb
Greg Foster,6.11,240lb
Tony Bennett,6,175lb
Ed Stokes,7,264lb
Glen Davis,6.9,289lb
Jimmy King,6.5,210lb
Pat Durham,6.7,210lb
DaJuan Summers,6.8,236lb
Brian Scalabrine,6.9,241lb
Mike Smith,5.11,185lb
Carlos Boozer,6.9,258lb
Draymond Green,6.7,230lb
P.J. Tucker Jr,6.5,225lb
DeAndre Jordan Jr,6.11,250lb
Jarnell Stokes,6.8,260lb
Michael Smith,6.1,225lb
Calvin Booth,6.11,230lb
Lawrence Moten III,6.5,185lb
Chris Corchiani,6,185lb
Ray McCallum,6.3,190lb
Craig Smith,6.7,250lb
Rakeem Christmas,6.9,250lb
Andre Emmett,6.5,230lb
Sam Young,6.6,220lb
Jordan Williams,6.1,260lb
Johnny O'Bryant,6.9,256lb
Jermareo Davidson,6.1,230lb
Malcolm Brogdon,6.5,217lb
Orlando Johnson,6.5,205lb
Trevor Wilson,6.7,210lb
DeAndre Daniels,6.9,195lb
Luc Richard Mbah a Moute,6.8,230lb
DeJuan Blair,6.7,265lb
Ronny Turiaf,6.1,249lb
Jeff McInnis,6.4,190lb
Michael Ansley,6.7,225lb
Nick Van Exel,6.1,170lb
Eddie House II,6.1,180lb
A.J. English,6.4,190lb
Josh McRoberts,6.1,240lb
Chinanu Onuaku,6.1,230lb
Richaun Holmes,6.8,245lb
Tony Mitchell,6.6,210lb
Trey Thompkins III,6.1,245lb
Quincy Acy,6.7,235lb
Bobby Jones,6.9,210lb
Steve Hamer,7,245lb
Eduardo Najera,6.8,240lb
Spencer Dinwiddie,6.6,200lb
Jon Brockman,6.7,255lb
