name,season,school,conf,class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Sherman Douglas,1985-86,Syracuse,Big East,FR,27,0,307,57,93,0.613,,,,,,,32,44,0.727,,,33,57,33,5,33,33,146
Sherman Douglas,1986-87,Syracuse,Big East,SO,38,38,1240,246,463,0.531,230,414,0.556,16,49,0.327,151,203,0.744,,,97,289,64,5,121,72,659
Sherman Douglas,1987-88,Syracuse,Big East,JR,35,34,1195,222,428,0.519,208,375,0.555,14,53,0.264,104,150,0.693,23,53,76,288,69,1,117,55,562
Sherman Douglas,1988-89,Syracuse,Big East,SR,38,38,1348,272,498,0.546,233,392,0.594,39,106,0.368,110,174,0.632,,,93,326,69,1,139,71,693
Sherman Douglas,Career,Syracuse,,,138,110,4090,797,1482,0.538,731,1131,0.568,69,208,0.332,397,571,0.695,23,53,299,960,235,12,410,231,2060
Deon Thomas,1990-91,Illinois,Big Ten,FR,30,28,933,172,298,0.577,172,298,0.577,0,0,,108,168,0.643,,,203,18,10,54,56,69,452
Deon Thomas,1991-92,Illinois,Big Ten,SO,28,26,946,199,340,0.585,199,340,0.585,0,0,,144,218,0.661,,,193,20,25,44,75,42,542
Deon Thomas,1992-93,Illinois,Big Ten,JR,32,30,1098,225,371,0.606,225,371,0.606,0,0,,137,212,0.646,,,256,37,17,42,57,71,587
Deon Thomas,1993-94,Illinois,Big Ten,SR,28,26,822,207,327,0.633,206,325,0.634,1,2,0.5,133,192,0.693,,,194,43,23,37,54,67,548
Deon Thomas,Career,Illinois,,,118,110,3799,803,1336,0.601,802,1334,0.601,1,2,0.5,522,790,0.661,,,846,118,75,177,242,249,2129
Antonio Lang,1990-91,Duke,ACC,FR,36,8,426,57,94,0.606,57,94,0.606,0,0,,40,76,0.526,,,92,7,14,28,25,55,154
Antonio Lang,1991-92,Duke,ACC,SO,34,18,763,77,137,0.562,77,137,0.562,0,0,,65,99,0.657,,,139,23,20,10,43,87,219
Antonio Lang,1992-93,Duke,ACC,JR,31,27,808,80,153,0.523,80,152,0.526,0,1,0,55,84,0.655,,,171,25,19,30,56,80,215
Antonio Lang,1993-94,Duke,ACC,SR,34,34,1023,153,260,0.588,153,258,0.593,0,2,0,118,163,0.724,,,184,35,15,38,74,83,424
Antonio Lang,Career,Duke,,,135,87,3020,367,644,0.57,367,641,0.573,0,3,0,278,422,0.659,,,586,90,68,106,198,305,1012
George Ackles,1988-89,UNLV,Big West,JR,36,27,703,81,150,0.54,81,150,0.54,0,0,,38,74,0.514,,,166,19,20,64,52,125,200
George Ackles,1990-91,UNLV,Big West,SR,35,,847,125,232,0.539,124,231,0.537,1,1,1,37,63,0.587,,,201,28,36,77,47,69,288
George Ackles,Career,UNLV,,,71,27,1550,206,382,0.539,205,381,0.538,1,1,1,75,137,0.547,,,367,47,56,141,99,194,488
Serge Zwikker,1993-94,UNC,ACC,FR,19,1,62,11,21,0.524,11,21,0.524,0,0,,6,8,0.75,,,13,1,4,8,1,12,28
Serge Zwikker,1994-95,UNC,ACC,SO,34,0,339,39,80,0.488,39,80,0.488,0,0,,21,31,0.677,,,102,10,5,14,12,40,99
Serge Zwikker,1995-96,UNC,ACC,JR,32,31,945,138,267,0.517,138,267,0.517,0,0,,29,47,0.617,,,198,23,3,49,40,74,305
Serge Zwikker,1996-97,UNC,ACC,SR,35,34,1077,177,360,0.492,176,357,0.493,1,3,0.333,47,62,0.758,,,285,12,13,61,41,102,402
Serge Zwikker,Career,UNC,,,120,66,2423,365,728,0.501,364,725,0.502,1,3,0.333,103,148,0.696,,,598,46,25,132,94,228,834
Othella Harrington,1992-93,Georgetown,Big East,FR,33,33,1075,205,358,0.573,205,358,0.573,0,0,,144,193,0.746,,,291,32,28,48,89,96,554
